Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot340,"ThurmanMurman",8,Pending,"OLI SE Office","OLI SE Office: Objective #1","1","17:18:18","N/A",
Bot340,"ThurmanMurman",8,Completed,"Goshan South Office","Goshan South Office: Objective #1","3","17:18:45","17:19:34",
Bot340,"ThurmanMurman",8,Failed,"OLI Showroom Center","OLI Showroom Center: Objective #1","1","17:19:39","17:20:05",
Bot340,"ThurmanMurman",8,Completed,"OLI Showroom Center","OLI Showroom Center: Objective #2","1","17:20:10","17:22:09",
Bot340,"ThurmanMurman",8,Pending,"OLI Showroom Center","OLI Showroom Center: Objective #3","1","17:22:14","N/A",
Bot357,"nidhoeggr",15,Pending,"The Blood of War - Part 1","Zone place_WARBLOOD_04_2","1","17:22:02","N/A",
Bot356,"MoxoPixel",8,Active,"IDEA Office","IDEA Office: Objective #1","1","17:22:03","N/A",
Bot359,"ObiOne",16,Pending,"The Blood of War - Part 1","Zone place_WARBLOOD_04_2","1","17:22:07","N/A",
Bot358,"Sanote",12,Pending,"Goshan Food Spawns","Goshan Food Spawns: Objective #3","1","17:22:14","N/A",
Bot361,"jennacide",1,Active,"Power Station West Shack","Power Station West Shack: Objective #1","1","17:22:15","N/A",
Bot360,"kova",11,Completed,"IDEA Registers","IDEA Registers: Objective #1","1","17:22:16","17:25:18",
Bot360,"kova",11,Active,"TTS","TTS: Objective #1","1","17:25:23","N/A",
Bot363,"Glukhar_111",8,Pending,"Pharma","Pharma: Objective #1","1","17:22:18","N/A",
Bot362,"NastyInc",3,Pending,"Goshan North Office","Goshan North Office: Objective #2","1","17:22:19","N/A",
Bot364,"Stealthsuit",18,Failed,"Database - Part 2","Item OLI cargo route documents","1","17:22:43","17:24:22",
Bot366,"Зураб Бокс (TinglePlayerParkov)",1,Failed,"OLI NE Office","OLI NE Office: Objective #1","1","17:22:53","17:26:16",
Bot367,"Даня Фотошоп (Belette)",1,Failed,"Goshan South Office","Goshan South Office: Objective #1","1","17:23:06","17:26:33",
Bot373,"Кайл Трехмерный (mighty_condor)",1,Pending,"Goshan Automotive Section","Goshan Automotive Section: Objective #1","1","17:23:30","N/A",
Bot379,"toaddsworth",8,Active,"Goshan South Office","Goshan South Office: Objective #1","1","17:24:30","N/A",
Bot383,"Ботир Всемогущий (CharlieMike)",1,Completed,"Power Station","Power Station: Objective #2","1","17:24:57","17:25:14",
Bot388,"Archy",8,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #1","1","17:25:35","17:28:47",
Bot388,"Archy",8,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #2","1","17:28:52","17:28:59",
Bot388,"Archy",8,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #4","1","17:29:04","17:29:09",
Bot388,"Archy",8,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #3","1","17:29:14","17:29:19",
Bot388,"Archy",8,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #5","1","17:29:24","17:29:37",
Bot388,"Archy",8,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #7","1","17:29:43","17:30:30",
Bot388,"Archy",8,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #6","1","17:30:35","17:30:45",
Bot388,"Archy",8,Completed,"Goshan Food Spawns","Goshan Food Spawns: Objective #1","4","17:30:50","17:32:11",
Bot388,"Archy",8,Completed,"Goshan Food Spawns","Goshan Food Spawns: Objective #3","4","17:32:16","17:33:31",
Bot388,"Archy",8,Completed,"Goshan Food Spawns","Goshan Food Spawns: Objective #2","4","17:33:36","17:35:44",
Bot388,"Archy",8,Active,"KIBA Investigate","KIBA Investigate: Objective #1","1","17:35:50","N/A",
Bot387,"papershredder432",15,Failed,"OLI Loading Dock Stashes","OLI Loading Dock Stashes: Objective #5","1","17:25:37","17:27:48",
Bot387,"papershredder432",15,Failed,"OLI Loading Dock Stashes","OLI Loading Dock Stashes: Objective #3","1","17:26:19","17:27:48",
Bot394,"Дэнчик Бибис (DeadLeaves)",1,Active,"OLI NW Office","OLI NW Office: Objective #1","1","17:26:39","N/A",
Bot400,"Егор Мочалка (Paulov)",1,Active,"Rasmussen","Rasmussen: Objective #4","1","17:27:04","N/A",
Bot398,"toaddsworth",11,Failed,"Techlight","Techlight: Objective #2","2","17:27:06","17:27:51",
Bot399,"Claus1978",9,Failed,"Techlight","Techlight: Objective #2","1","17:27:06","17:27:51",
Bot402,"snapple",6,Pending,"OLI Loading Area","OLI Loading Area: Objective #2","1","17:27:43","N/A",
Bot402,"snapple",6,Completed,"OLI Loading Area","OLI Loading Area: Objective #5","1","17:30:01","17:30:23",
Bot402,"snapple",6,Completed,"OLI Loading Area","OLI Loading Area: Objective #3","1","17:30:28","17:30:42",
Bot402,"snapple",6,Completed,"OLI Loading Area","OLI Loading Area: Objective #4","1","17:30:47","17:31:14",
Bot402,"snapple",6,Active,"OLI Loading Area","OLI Loading Area: Objective #1","1","17:31:19","N/A",
Bot404,"ShadowXtrex",3,Completed,"Railway Stashes","Railway Stashes: Objective #5","1","17:27:48","17:27:58",
Bot404,"ShadowXtrex",3,Completed,"Railway Stashes","Railway Stashes: Objective #4","1","17:28:03","17:28:16",
Bot404,"ShadowXtrex",3,Completed,"Railway Stashes","Railway Stashes: Objective #3","1","17:28:21","17:28:41",
Bot404,"ShadowXtrex",3,Completed,"Railway Stashes","Railway Stashes: Objective #2","1","17:28:46","17:29:14",
Bot404,"ShadowXtrex",3,Completed,"Railway Stashes","Railway Stashes: Objective #1","1","17:29:19","17:29:51",
Bot404,"ShadowXtrex",3,Active,"Mantis","Mantis: Objective #2","1","17:29:56","N/A",
Bot405,"白闲者",12,Completed,"Railway Stashes","Railway Stashes: Objective #5","1","17:27:51","17:28:01",
Bot403,"Borkel",7,Pending,"Techlight","Techlight: Objective #2","1","17:27:54","N/A",
Bot408,"Марк Патриарх (zicoman)",1,Pending,"Mantis","Mantis: Objective #2","1","17:28:28","N/A",
Bot408,"Марк Патриарх (zicoman)",1,Completed,"Mantis","Mantis: Objective #4","1","17:31:01","17:31:11",
Bot408,"Марк Патриарх (zicoman)",1,Completed,"Mantis","Mantis: Objective #1","1","17:31:16","17:31:29",
Bot408,"Марк Патриарх (zicoman)",1,Completed,"Mantis","Mantis: Objective #3","1","17:31:34","17:31:54",
Bot408,"Марк Патриарх (zicoman)",1,Completed,"Pharma","Pharma: Objective #2","1","17:31:59","17:33:33",
Bot408,"Марк Патриарх (zicoman)",1,Completed,"Pharma","Pharma: Objective #1","1","17:33:38","17:33:43",
Bot408,"Марк Патриарх (zicoman)",1,Completed,"German","German: Objective #1","1","17:33:48","17:35:27",
Bot408,"Марк Патриарх (zicoman)",1,Failed,"Techlight","Techlight: Objective #1","1","17:35:32","17:35:45",
Bot408,"Марк Патриарх (zicoman)",1,Active,"Techlight","Techlight: Objective #2","1","17:35:50","N/A",
Bot410,"Глеб Вантуз (R3)",1,Active,"Goshan Automotive Section","Goshan Automotive Section: Objective #3","1","17:29:01","N/A",
Bot411,"Заур Рожа (R3)",1,Active,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #3","1","17:29:03","N/A",
Bot418,"1nco",5,Failed,"Techlight","Techlight: Objective #2","1","17:30:08","17:32:07",
Bot419,"DasWulf",17,Active,"OLI Loading Area","OLI Loading Area: Objective #1","1","17:30:22","N/A",
Bot421,"Рома Колпак (Arys)",1,Active,"OLI Showroom West","OLI Showroom West: Objective #13","1","17:30:57","N/A",
Bot422,"Вадик Ситуация (Bepis)",1,Failed,"OLI Logistics Area","OLI Logistics Area: Objective #1","1","17:31:30","17:32:39",
Bot426,"Дэнчик Перец (Doge)",1,Completed,"OLI East Bathrooms","OLI East Bathrooms: Objective #1","1","17:31:32","17:32:46",
Bot426,"Дэнчик Перец (Doge)",1,Pending,"OLI NE Office","OLI NE Office: Objective #1","1","17:32:51","N/A",
Bot426,"Дэнчик Перец (Doge)",1,Pending,"OLI Loading Dock Stashes","OLI Loading Dock Stashes: Objective #3","1","17:34:22","N/A",
Bot426,"Дэнчик Перец (Doge)",1,Active,"OLI Loading Dock Stashes","OLI Loading Dock Stashes: Objective #4","1","17:34:42","N/A",
Bot429,"Фаддей Фуфел (Skeeze)",1,Active,"Goshan North Office","Goshan North Office: Objective #2","1","17:32:18","N/A",
Bot430,"Валера Топор (Stealthsuit)",1,Active,"IDEA Showroom","IDEA Showroom: Objective #5","1","17:32:27","N/A",
Bot434,"Глеб Соломон (KittehKun)",1,Failed,"Railway Stashes","Railway Stashes: Objective #5","1","17:33:50","17:34:42",
Bot434,"Глеб Соломон (KittehKun)",1,Failed,"Techlight","Techlight: Objective #1","1","17:34:47","17:34:47",
Bot434,"Глеб Соломон (KittehKun)",1,Failed,"Techlight","Techlight: Objective #2","1","17:34:52","17:34:52",
Bot435,"oroku",14,Active,"KIBA Investigate","KIBA Investigate: Objective #1","2","17:34:29","N/A",
Bot436,"Yakhmet",6,Pending,"Techlight","Techlight: Objective #2","1","17:34:31","N/A",
Bot439,"野猪",4,Pending,"OLI Logistics Area","OLI Logistics Area: Objective #6","1","17:34:39","N/A",
Bot437,"AshleyShcaefferBMW",17,Active,"Emercom","Emercom: Objective #3","1","17:34:40","N/A",
Bot440,"halik92",6,Pending,"Techlight","Techlight: Objective #2","1","17:34:40","N/A",
Bot438,"Holynevil",11,Pending,"OLI Logistics Area","OLI Logistics Area: Objective #6","1","17:34:42","N/A",
Bot441,"Гит Поехавший (R3)",1,Failed,"Goshan Food Spawns","Goshan Food Spawns: Objective #1","1","17:35:16","17:35:21",
Bot441,"Гит Поехавший (R3)",1,Failed,"Goshan Food Spawns","Goshan Food Spawns: Objective #2","1","17:35:26","17:35:39",
Bot441,"Гит Поехавший (R3)",1,Failed,"Techlight","Techlight: Objective #1","1","17:35:44","17:35:44",
Bot441,"Гит Поехавший (R3)",1,Pending,"Techlight","Techlight: Objective #2","1","17:35:49","N/A",
Bot444,"Clerance",11,Pending,"OLI Showroom East","OLI Showroom East: Objective #1","1","17:35:18","N/A",
Bot445,"DewardianDev",5,Active,"OLI NW Office","OLI NW Office: Objective #1","1","17:35:23","N/A",
Bot446,"NiggerFishes",6,Pending,"Generic","Generic: Objective #3","1","17:35:23","N/A",
Bot448,"Авдей Фикус (Lacyway)",1,Failed,"OLI Showroom Center","OLI Showroom Center: Objective #1","1","17:35:29","17:35:34",
Bot448,"Авдей Фикус (Lacyway)",1,Failed,"OLI Showroom Center","OLI Showroom Center: Objective #2","1","17:35:39","17:35:39",
Bot443,"Fiaf",7,Failed,"OLI Back Storage","OLI Back Storage: Objective #1","1","17:35:35","17:35:55",
Bot443,"Fiaf",7,Failed,"Techlight","Techlight: Objective #2","1","17:36:00","17:36:00",
Bot443,"Fiaf",7,Failed,"Techlight","Techlight: Objective #1","1","17:36:05","17:36:07",
Bot447,"Ростислав Микроб (Claus1978)",1,Active,"OLI Loading Dock Stashes","OLI Loading Dock Stashes: Objective #5","1","17:35:40","N/A",
Bot449,"Микола Револьвер (Hobbes)",1,Completed,"Pharma","Pharma: Objective #1","1","17:35:49","17:36:02",
Bot449,"Микола Револьвер (Hobbes)",1,Active,"TTS","TTS: Objective #4","1","17:36:07","N/A",
Bot451,"Боря Боржоми (CharlieMike)",1,Completed,"Mantis","Mantis: Objective #2","1","17:35:51","17:37:19",
Bot451,"Боря Боржоми (CharlieMike)",1,Completed,"Mantis","Mantis: Objective #3","1","17:37:24","17:37:40",
Bot451,"Боря Боржоми (CharlieMike)",1,Pending,"Mantis","Mantis: Objective #4","1","17:37:45","N/A",
Bot452,"Эдуард Фикус (野猪)",1,Active,"IDEA Registers","IDEA Registers: Objective #1","1","17:36:01","N/A",
Bot453,"rozema",6,Active,"East Wall Container","East Wall Container: Objective #1","1","17:36:06","N/A",
Bot454,"NastyInc",3,Active,"Rasmussen","Rasmussen: Objective #3","1","17:36:16","N/A",
Bot456,"Митрофан Японец (ISLAYNIGGERS)",1,Failed,"Techlight","Techlight: Objective #1","1","17:36:34","17:37:03",
Bot456,"Митрофан Японец (ISLAYNIGGERS)",1,Failed,"Techlight","Techlight: Objective #2","1","17:37:08","17:37:08",
Bot461,"Ричи Пернатый (VirtualHex)",1,Completed,"Goshan Automotive Section","Goshan Automotive Section: Objective #1","1","17:37:18","17:37:21",
Bot461,"Ричи Пернатый (VirtualHex)",1,Completed,"Goshan Automotive Section","Goshan Automotive Section: Objective #2","1","17:37:26","17:37:40",
Bot461,"Ричи Пернатый (VirtualHex)",1,Completed,"Goshan Automotive Section","Goshan Automotive Section: Objective #3","1","17:37:45","17:37:55",
Bot461,"Ричи Пернатый (VirtualHex)",1,Active,"Goshan Food Spawns","Goshan Food Spawns: Objective #1","1","17:38:00","N/A",
Bot462,"Тихон Микроб (Bepis)",1,Pending,"OLI Showroom West","OLI Showroom West: Objective #2","1","17:37:20","N/A",
Bot463,"Святополк Дробь (Pettan)",1,Active,"Goshan Food Spawns","Goshan Food Spawns: Objective #1","1","17:38:09","N/A",
Bot465,"Колян Слоупок (Tariyihika)",1,Active,"Goshan Food Spawns","Goshan Food Spawns: Objective #1","1","17:38:11","N/A",
Bot466,"Гурам Мультик (iDkGK)",1,Completed,"Techlight","Techlight: Objective #2","3","17:38:52","17:39:54",
Bot467,"Ванька Забор (Nasc)",1,Active,"MK","MK: Objective #1","1","17:39:36","N/A",
Bot470,"Гриша Коряга (5o2)",1,Active,"OLI SE Office","OLI SE Office: Objective #1","1","17:39:43","N/A",
Bot468,"Фёдор Карась (epidemicz)",1,Active,"East Wall Container","East Wall Container: Objective #1","1","17:39:45","N/A",
