Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot81,"jbs4bmx",5,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","18:19:34","18:20:56",
Bot81,"jbs4bmx",5,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","18:21:01","18:21:59",
Bot82,"AshleyShcaefferBMW",7,Completed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","18:19:35","18:19:37",
Bot82,"AshleyShcaefferBMW",7,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","18:19:42","18:21:56",
Bot83,"Andrudis",11,Completed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","18:19:35","18:20:25",
Bot83,"Andrudis",11,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","18:20:30","18:22:33",
Bot86,"1nco",3,Completed,"Underground Utility Room","Underground Utility Room: Objective #1","4","18:19:40","18:21:43",
Bot86,"1nco",3,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","18:21:48","18:25:22",
Bot87,"gasmo",4,Pending,"Underground Utility Room","Underground Utility Room: Objective #1","1","18:19:40","N/A",
Bot88,"NastyInc",8,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","18:19:44","18:20:25",
Bot88,"NastyInc",8,Active,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","18:20:30","N/A",
Bot89,"Aki-chan",4,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","18:19:44","18:20:37",
Bot93,"Paulov",9,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","18:20:21","18:45:05",
Bot94,"ThurmanMurman",8,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","18:20:22","18:31:00",
Bot95,"ThatGuyXIV",4,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","18:20:23","18:24:54",
Bot101,"PreyToLive",3,Active,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","18:24:34","N/A",
Bot103,"rozema",10,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","18:24:35","N/A",
Bot102,"SlejmUr",5,Active,"Olive Restaurant","Olive Restaurant: Objective #6","1","18:24:35","N/A",
Bot104,"PreyToLive",5,Pending,"Kyshperski","Kyshperski: Objective #4","1","18:24:36","N/A",
Bot105,"Mako",8,Active,"Kyshperski","Kyshperski: Objective #4","1","18:24:36","N/A",
Bot106,"Helldiver",13,Completed,"Underground Entrance","Underground Entrance: Objective #1","1","18:25:03","18:26:32",
Bot106,"Helldiver",13,Completed,"Underground Entrance","Underground Entrance: Objective #3","1","18:26:37","18:29:06",
Bot106,"Helldiver",13,Completed,"Underground Entrance","Underground Entrance: Objective #2","1","18:29:11","18:29:36",
Bot106,"Helldiver",13,Completed,"Underground Utility Room","Underground Utility Room: Objective #1","4","18:29:41","18:37:21",
Bot106,"Helldiver",13,Completed,"Underground North","Underground North: Objective #8","1","18:37:26","18:37:29",
Bot106,"Helldiver",13,Completed,"Underground North","Underground North: Objective #6","1","18:37:34","18:38:02",
Bot106,"Helldiver",13,Completed,"Underground North","Underground North: Objective #5","1","18:38:07","18:38:18",
Bot106,"Helldiver",13,Completed,"Underground North","Underground North: Objective #4","2","18:38:23","18:38:58",
Bot106,"Helldiver",13,Completed,"Underground North","Underground North: Objective #3","1","18:39:03","18:40:01",
Bot106,"Helldiver",13,Pending,"Underground North","Underground North: Objective #2","1","18:40:06","N/A",
