Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot473,"pplatinumssEU",11,Completed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","17:54:02","17:54:03",
Bot473,"pplatinumssEU",11,Failed,"Underground North","Underground North: Objective #3","1","17:54:08","18:16:34",
Bot473,"pplatinumssEU",11,Completed,"Underground North","Underground North: Objective #2","1","17:56:08","17:56:44",
Bot473,"pplatinumssEU",11,Failed,"Underground North","Underground North: Objective #4","2","17:56:49","18:16:34",
Bot473,"pplatinumssEU",11,Completed,"Underground North","Underground North: Objective #5","1","17:57:33","17:57:48",
Bot473,"pplatinumssEU",11,Failed,"Underground North","Underground North: Objective #6","1","17:57:53","18:16:34",
Bot473,"pplatinumssEU",11,Completed,"Underground North","Underground North: Objective #8","1","17:58:20","17:58:41",
Bot473,"pplatinumssEU",11,Completed,"Underground North","Underground North: Objective #7","2","17:58:46","17:59:26",
Bot473,"pplatinumssEU",11,Completed,"Underground North","Underground North: Objective #1","1","17:59:31","18:02:58",
Bot473,"pplatinumssEU",11,Completed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","18:03:03","18:09:08",
Bot473,"pplatinumssEU",11,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","18:09:13","18:13:20",
Bot473,"pplatinumssEU",11,Failed,"Olive Restaurant","Olive Restaurant: Objective #6","1","18:13:25","18:13:53",
Bot473,"pplatinumssEU",11,Failed,"Olive Restaurant","Olive Restaurant: Objective #5","1","18:13:58","18:14:18",
Bot473,"pplatinumssEU",11,Failed,"Olive Restaurant","Olive Restaurant: Objective #3","1","18:14:23","18:14:23",
Bot473,"pplatinumssEU",11,Completed,"Olive Restaurant","Olive Restaurant: Objective #4","1","18:14:29","18:15:22",
Bot473,"pplatinumssEU",11,Failed,"Olive Restaurant","Olive Restaurant: Objective #2","2","18:15:27","18:16:34",
Bot474,"T90Commander",6,Completed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","17:54:03","17:54:04",
Bot474,"T90Commander",6,Pending,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","17:54:09","N/A",
Bot475,"MadDutch",3,Completed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","17:54:03","17:54:25",
Bot475,"MadDutch",3,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","17:54:30","17:58:24",
Bot476,"SirTyler",7,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","17:54:04","17:55:27",
Bot477,"archon0ne",2,Failed,"TerraGroup Office Upstairs Sniping","TerraGroup Office Upstairs Sniping: Objective #2","2","17:54:04","17:55:56",
Bot478,"Snofielf",2,Completed,"Kyshperski","Kyshperski: Objective #1","1","17:54:05","17:54:26",
Bot478,"Snofielf",2,Completed,"Kyshperski","Kyshperski: Objective #2","1","17:54:31","17:54:43",
Bot478,"Snofielf",2,Completed,"Kyshperski","Kyshperski: Objective #3","1","17:54:48","17:55:04",
Bot478,"Snofielf",2,Completed,"Kyshperski","Kyshperski: Objective #4","2","17:55:09","17:55:36",
Bot478,"Snofielf",2,Completed,"Underground South","Underground South: Objective #4","1","17:55:41","17:58:40",
Bot478,"Snofielf",2,Completed,"Underground South","Underground South: Objective #3","2","17:58:45","18:00:42",
Bot478,"Snofielf",2,Completed,"Underground South","Underground South: Objective #2","1","18:00:47","18:01:06",
Bot478,"Snofielf",2,Completed,"Underground South","Underground South: Objective #1","1","18:01:11","18:02:08",
